latitud,longitud,timestamp,day,month,year,hour,minute,voltage_V_A,current_A_A,power_W_A,pf_A,freq_Hz_A,energy_Wh_A,voltage_V_B,current_A_B,power_W_B,pf_B,freq_Hz_B,energy_Wh_B,id_punto
25.660385,-100.281728,2026-05-12 14:40:00,12,5,2026,14,40,123.8,0.318,21.0,0.53,59.04,21350,0,0.656,31.6,0.38,59.04,37490,25.660385_-100.281728
25.660385,-100.281728,2026-05-12 14:46:00,12,5,2026,14,46,123.8,0.319,21.1,0.53,59.04,21350,0,0.657,31.6,0.38,59.04,37490,25.660385_-100.281728
25.660385,-100.281728,2026-05-12 16:12:00,12,5,2026,16,12,123.6,0.33,21.6,0.52,59.07,21380,0,1.193,142.7,0.96,59.07,37600,25.660385_-100.281728
25.660385,-100.281728,2026-05-12 17:31:00,12,5,2026,17,31,124.8,0.324,21.2,0.52,59.07,21410,0,0.665,32.5,0.39,59.07,37700,25.660385_-100.281728
25.660385,-100.281728,2026-05-12 19:26:00,12,5,2026,19,26,126.2,4.541,552.7,0.96,59.02,21960,0,6.276,767.0,0.96,59.02,38320,25.660385_-100.281728
25.660385,-100.281728,2026-05-12 23:33:00,12,5,2026,23,33,127.2,0.327,22.0,0.52,59.06,22840,0,2.969,346.4,0.91,59.06,40110,25.660385_-100.281728
25.660385,-100.281728,2026-05-13 02:21:00,13,5,2026,2,21,127.7,0.323,22.1,0.53,59.07,23110,0,0.497,25.7,0.4,59.07,40810,25.660385_-100.281728
25.660385,-100.281728,2026-05-13 05:14:00,13,5,2026,5,14,128.0,0.329,22.1,0.52,59.02,23180,0,1.101,138.8,0.98,59.02,41000,25.660385_-100.281728
25.660385,-100.281728,2026-05-13 07:32:00,13,5,2026,7,32,125.1,7.144,890.3,0.99,59.07,23290,0,1.111,136.6,0.98,59.07,41170,25.660385_-100.281728
25.660385,-100.281728,2026-05-13 10:08:00,13,5,2026,10,8,124.5,0.332,21.6,0.52,59.02,23720,0,0.494,25.0,0.4,59.02,41390,25.660385_-100.281728
25.660385,-100.281728,2026-05-13 12:19:00,13,5,2026,12,19,125.0,0.323,21.3,0.52,59.07,23770,0,1.127,138.7,0.98,59.07,41550,25.660385_-100.281728
25.660385,-100.281728,2026-05-13 14:15:00,13,5,2026,14,15,123.4,0.336,21.4,0.51,59.04,23810,0,0.482,24.1,0.4,59.04,41680,25.660385_-100.281728
25.660385,-100.281728,2026-05-13 15:48:00,13,5,2026,15,48,122.9,0.34,21.6,0.51,59.07,23840,0,1.164,140.8,0.98,59.07,41760,25.660385_-100.281728
25.660385,-100.281728,2026-05-13 17:05:00,13,5,2026,17,5,123.2,0.326,21.0,0.52,59.02,23860,0,0.471,23.0,0.39,59.02,41850,25.660385_-100.281728
25.660385,-100.281728,2026-05-13 18:18:00,13,5,2026,18,18,124.9,0.558,63.0,0.9,59.04,23880,0,0.549,32.0,0.46,59.04,41980,25.660385_-100.281728
25.660385,-100.281728,2026-05-13 22:17:00,13,5,2026,22,17,126.6,4.198,497.4,0.93,59.06,25080,0,4.079,486.5,0.94,59.06,43230,25.660385_-100.281728
25.660385,-100.281728,2026-05-14 01:26:00,14,5,2026,1,26,127.7,0.347,23.0,0.51,59.04,25660,0,1.669,201.7,0.94,59.04,43950,25.660385_-100.281728
25.660385,-100.281728,2026-05-14 03:57:00,14,5,2026,3,57,128.0,0.4,41.4,0.8,59.04,26270,0,0.351,34.2,0.76,59.04,44680,25.660385_-100.281728
25.660385,-100.281728,2026-05-14 05:57:00,14,5,2026,5,57,127.8,0.39,41.0,0.82,59.04,26680,0,0.356,34.3,0.75,59.04,45170,25.660385_-100.281728
25.660385,-100.281728,2026-05-14 08:30:00,14,5,2026,8,30,125.1,0.402,40.4,0.8,59.04,27160,0,1.189,144.8,0.97,59.04,45780,25.660385_-100.281728
25.660385,-100.281728,2026-05-14 10:31:00,14,5,2026,10,31,124.2,0.843,50.2,0.47,59.06,27380,0,1.529,187.9,0.98,59.06,45960,25.660385_-100.281728
25.660385,-100.281728,2026-05-14 12:21:00,14,5,2026,12,21,124.0,0.57,35.7,0.5,59.06,27460,0,0.659,74.3,0.9,59.06,46150,25.660385_-100.281728
25.660385,-100.281728,2026-05-14 14:18:00,14,5,2026,14,18,123.3,0.326,21.0,0.52,59.06,27550,0,0.811,84.2,0.84,59.06,46400,25.660385_-100.281728
25.660385,-100.281728,2026-05-14 15:40:00,14,5,2026,15,40,122.6,0.323,21.1,0.53,59.06,27580,0,1.134,136.4,0.98,59.06,46630,25.660385_-100.281728
25.660385,-100.281728,2026-05-14 16:57:00,14,5,2026,16,57,123.0,0.328,21.3,0.52,59.04,27740,0,1.069,128.9,0.97,59.04,46860,25.660385_-100.281728
25.660385,-100.281728,2026-05-14 18:01:00,14,5,2026,18,1,124.9,0.331,21.3,0.51,59.06,27770,0,1.039,127.3,0.98,59.06,46920,25.660385_-100.281728
25.660385,-100.281728,2026-05-14 22:31:00,14,5,2026,22,31,127.3,0.33,21.9,0.52,59.07,28270,0,1.257,130.4,0.81,59.07,47900,25.660385_-100.281728
25.660385,-100.281728,2026-05-15 01:44:00,15,5,2026,1,44,127.0,3.771,453.2,0.94,59.02,28420,0,7.122,779.3,0.86,59.02,48490,25.660385_-100.281728
25.660385,-100.281728,2026-05-15 04:24:00,15,5,2026,4,24,127.7,3.675,439.0,0.93,59.01,28940,0,4.492,550.4,0.93,59.01,49170,25.660385_-100.281728
25.660385,-100.281728,2026-05-15 06:22:00,15,5,2026,6,22,127.1,3.75,450.0,0.94,59.06,29210,0,4.56,560.3,0.96,59.06,49510,25.660385_-100.281728
25.660385,-100.281728,2026-05-15 09:04:00,15,5,2026,9,4,125.3,0.316,20.9,0.52,59.09,29420,0,0.322,16.2,0.4,59.09,49730,25.660385_-100.281728
25.660385,-100.281728,2026-05-15 11:03:00,15,5,2026,11,3,125.2,0.327,21.1,0.51,59.06,29460,0,1.103,135.5,0.98,59.06,49840,25.660385_-100.281728
25.660385,-100.281728,2026-05-15 12:58:00,15,5,2026,12,58,124.4,0.328,21.2,0.51,59.02,29500,0,1.079,131.0,0.97,59.02,49960,25.660385_-100.281728
25.660385,-100.281728,2026-05-15 14:20:00,15,5,2026,14,20,123.4,0.325,21.2,0.52,59.06,29530,0,0.308,14.7,0.38,59.06,50080,25.660385_-100.281728
25.660385,-100.281728,2026-05-15 15:31:00,15,5,2026,15,31,123.1,0.33,21.7,0.53,59.07,29560,0,0.326,16.2,0.4,59.07,50170,25.660385_-100.281728
25.660385,-100.281728,2026-05-15 16:49:00,15,5,2026,16,49,123.5,0.333,20.9,0.5,59.04,29570,0,1.098,132.8,0.97,59.04,50240,25.660385_-100.281728
25.660385,-100.281728,2026-05-15 17:07:00,15,5,2026,17,7,123.8,0.325,21.3,0.52,59.07,29580,0,0.329,17.6,0.43,59.07,50270,25.660385_-100.281728
25.660385,-100.281728,2026-05-15 17:34:00,15,5,2026,17,34,124.5,0.322,21.3,0.53,59.06,29590,0,0.314,15.5,0.39,59.06,50280,25.660385_-100.281728
25.660385,-100.281728,2026-05-15 17:35:00,15,5,2026,17,35,124.5,0.326,21.7,0.53,59.02,29590,0,0.306,14.8,0.38,59.02,50280,25.660385_-100.281728
25.660385,-100.281728,2026-05-15 17:42:00,15,5,2026,17,42,124.6,0.32,21.3,0.53,59.06,29590,0,1.109,135.1,0.97,59.06,50290,25.660385_-100.281728
25.660385,-100.281728,2026-05-15 19:22:00,15,5,2026,19,22,125.7,0.319,21.0,0.52,59.06,29630,0,0.307,14.7,0.38,59.06,50380,25.660385_-100.281728
25.660385,-100.281728,2026-05-15 23:00:00,15,5,2026,23,0,126.6,0.352,24.5,0.54,59.04,29950,0,1.286,153.1,0.93,59.04,51030,25.660385_-100.281728
25.660385,-100.281728,2026-05-16 01:22:00,16,5,2026,1,22,126.6,3.837,461.5,0.94,59.07,30360,0,4.117,497.2,0.95,59.07,51870,25.660385_-100.281728
25.660385,-100.281728,2026-05-16 03:15:00,16,5,2026,3,15,127.2,3.923,471.2,0.94,59.04,30760,0,3.95,480.4,0.95,59.04,52400,25.660385_-100.281728
25.660385,-100.281728,2026-05-16 04:40:00,16,5,2026,4,40,127.7,3.761,454.7,0.94,59.07,31080,0,4.808,596.4,0.97,59.07,52780,25.660385_-100.281728
25.660385,-100.281728,2026-05-16 05:51:00,16,5,2026,5,51,127.8,3.851,465.1,0.94,59.06,31220,0,4.831,598.3,0.96,59.06,53010,25.660385_-100.281728
25.660385,-100.281728,2026-05-16 07:23:00,16,5,2026,7,23,127.7,0.365,25.4,0.54,59.07,31450,0,0.421,42.8,0.79,59.07,53300,25.660385_-100.281728
25.660385,-100.281728,2026-05-16 08:42:00,16,5,2026,8,42,126.6,0.323,21.3,0.52,59.04,31610,0,1.276,152.2,0.94,59.04,53550,25.660385_-100.281728
25.660385,-100.281728,2026-05-16 09:58:00,16,5,2026,9,58,126.0,0.33,22.2,0.53,59.02,31640,0,0.321,34.2,0.84,59.02,53650,25.660385_-100.281728
25.660385,-100.281728,2026-05-16 11:09:00,16,5,2026,11,9,125.5,0.332,21.9,0.52,59.07,31760,0,1.239,146.6,0.94,59.07,53760,25.660385_-100.281728
